Track name, Artist name, Album, Playlist name, Type, ISRC
Regal,Noname,Room 25,Favorite Songs,Favorite,QM24S1834475
Something to Rap About (feat. Tyler, The Creator),Freddie Gibbs,Alfredo,Favorite Songs,Favorite,USUYG1312764
"The Edge of New Clothes,Open Mike Eagle,""Anime, Trauma and Divorce"",Favorite Songs,Favorite,USA2B1904077"
Hold It Down,Apollo Brown,As God Intended,Favorite Songs,Favorite,QM6MZ2095134
Odessa,Your Old Droog,Dump YOD: Krutoy Edition,Favorite Songs,Favorite,USHKR0919806
König Alkohol,Zugezogen Maskulin,10 Jahre Abfuck,Favorite Songs,Favorite,DEQ322000158
Pommelhorse,Armand Hammer,Shrines,Favorite Songs,Favorite,QM6MZ2053307
Money Orientated,Apollo Brown,As God Intended,Favorite Songs,Favorite,QM6MZ2095132
All in a Dream,Deca,Snakes and Birds,Favorite Songs,Favorite,TCAFE2005988
Jueles Trunk [VIP dub],Kenny Segal,Kenstrumentals Vol. 4: a lot on my plate,Favorite Songs,Favorite,US25X2003519
Kode,Loaded Lux,Manifest Destiny,Favorite Songs,Favorite,QZHN62101192
HAMARTIA,Chimezie,BETTER TOGETHER,Favorite Songs,Favorite,QZFZ62179372
Synonymisms,Googie,Hijinx,Favorite Songs,Favorite,QMBZ92022932
Don't Do Me Like That,Felt,Felt 4 U,Favorite Songs,Favorite,USBWK2000154
Code Naming,ANKHLEJOHN,As Above So Below,Favorite Songs,Favorite,QZNWV2075669
Little Dominiques Nosebleed, Pt. 1,The Koreatown Oddity,Little Dominiques Nosebleed,Favorite Songs,Favorite,US2S72034002
down.exe,Rav,SKIN,Favorite Songs,Favorite,QZFZ32074178
God Is Perfect,Freddie Gibbs,Alfredo,Favorite Songs,Favorite,USUYG1314082
Runnin,21 Savage,SAVAGE MODE II,Favorite Songs,Favorite,USSM12005346
Kin'tro,Pink Siifu,FlySiifu's,Favorite Songs,Favorite,GBMYF2000075
The Feeling,Blu,The Feeling,Favorite Songs,Favorite,US6680916886
The People (feat. Conway the Machine & Marc Scibilia) - Remix,Jim Jones,The People (Remix) [Feat. Conway the Machine & Marc Scibilia],Favorite Songs,Favorite,USUYG1318789
Intro,21 Savage,SAVAGE MODE II,Favorite Songs,Favorite,USSM12006042
Pay Day,Googie,Hijinx,Favorite Songs,Favorite,QMBZ92022929
Klingelton,Audio88,Klingelton,Favorite Songs,Favorite,DEQ022008166
Sunken Place (Remix),Masta Ace,A Breukelen Story (Deluxe Edition),Favorite Songs,Favorite,US6680916362
Enough,Navy Blue,Song of Sage: Post Panic!,Favorite Songs,Favorite,QZPLR2084061
The American Dream,Blu & Exile,Miles,Favorite Songs,Favorite,US6680916896
Roots Of Blue,Blu & Exile,Miles,Favorite Songs,Favorite,US6680916893
"Children Of Never,Preservation,""Eastern Medicine, Western Illness"",Favorite Songs,Favorite,USHKR0919512"
Tomorrow (feat. Megaman & Styalz Fuego),Wiley,The Ascent,Favorite Songs,Favorite,GBAHT1300068
Fließbandjob,Audio88,Todesliste,Favorite Songs,Favorite,DEQ022008167
Make It Home (feat. Kenny Sway),Jim Jones,The Fraud Department,Favorite Songs,Favorite,USUYG1358382
Chopper (feat. Billy Blue, Buk of Psychodrama, Trouble, Trae Tha Truth, Fam Lay & Glasses Malone),Lupe Fiasco,Tetsuo & Youth,Favorite Songs,Favorite,USAT21405279
When,Awon,Nothing Less,Favorite Songs,Favorite,QZDA52109824
Back At The House,Hemlock Ernst,Back At The House,Favorite Songs,Favorite,US25X1902736
Bucket List,Saba,Bucket List Project,Favorite Songs,Favorite,USUYG1115902
My Dawg,21 Savage,SAVAGE MODE II,Favorite Songs,Favorite,USSM12005347
Pounds of Paper,Curren$y,The OutRunners,Favorite Songs,Favorite,QM6P42088562
Lights On (feat. Angel & Tinchy Stryder),Wiley,The Ascent,Favorite Songs,Favorite,GBAHT1300067
You Ain't Never Been Blue,Blu & Exile,Miles,Favorite Songs,Favorite,US6680916890
Same Place,Lil B,The Silent President,Favorite Songs,Favorite,TCADP1824453
Little Death (feat. Nikki Jean),Lupe Fiasco,Tetsuo & Youth,Favorite Songs,Favorite,USAT21405247
Jargonne,Hemlock Ernst,Back At The House,Favorite Songs,Favorite,US25X1902734
Coffee and Sleeping Pills,Killah Priest,The Third Eye in Technicolor,Favorite Songs,Favorite,QZNWU2056884
Wherever,Mixed Matches,Opium,Favorite Songs,Favorite,QZK6P2019615
Baby $hit,Freddie Gibbs,Alfredo,Favorite Songs,Favorite,USUYG1314086
Night/Day/Work/Home,CFCF,memoryland,Favorite Songs,Favorite,USYBL2100446
Say A Prayer (feat. Curren$y & Jay Worthy),Jim Jones,The Fraud Department,Favorite Songs,Favorite,USUYG1358376
Daddy's Girl,Apollo Brown,As God Intended,Favorite Songs,Favorite,QM6MZ2095135
Montego Bae,Noname,Room 25,Favorite Songs,Favorite,QM24S1834476
Geist,OG Keemo,Geist,Favorite Songs,Favorite,DEW921901335
Wörtliche Rede,Retrogott,Metamusik,Favorite Songs,Favorite,QM4TW2109343
WAV Files,Lupe Fiasco,DROGAS WAVE,Favorite Songs,Favorite,US5KD1800006
Scarab 38 (feat. Action Bronson),Curren$y,The Marina,Favorite Songs,Favorite,USUYG1200882
Marie,Mach-Hommy,Pray For Haiti,Favorite Songs,Favorite,USUYG1371032
Fall of Feinix (666),Cambatta,LSD: Lunar Solar Duality,Favorite Songs,Favorite,QM6N22011917
Reload (feat. Chip & Ms D),Wiley,The Ascent,Favorite Songs,Favorite,GBAHT1300048
Gauze,Aesop Rock,Spirit World Field Guide,Favorite Songs,Favorite,USBWK2000053
Something Real,Sa-Roc,The Sharecropper's Daughter,Favorite Songs,Favorite,USBWK1900041
Mr. Right Now (feat. Drake),21 Savage,SAVAGE MODE II,Favorite Songs,Favorite,USSM12005343
Small Sounds,Jazz Spastiks,Camera of Sound,Favorite Songs,Favorite,GBMJG2100939
Detroit River Rock,Boldy James,Manger on McNichols,Favorite Songs,Favorite,TCAFD2073594
Prayer Song,Noname,Room 25,Favorite Songs,Favorite,QM24S1834472
Bloody Knuckles,Medhane,Own Pace,Favorite Songs,Favorite,QZHNA1934839
Everything,Little Brother,May the Lord Watch,Favorite Songs,Favorite,USUYG1267780
Judgement,Flowdan,Disaster Piece,Favorite Songs,Favorite,GBEUE1500286
Nebel,OG Keemo,Geist,Favorite Songs,Favorite,DEW921901331
Make It Better (feat. Smokey Robinson),Anderson .Paak,Ventura,Favorite Songs,Favorite,ZZOPM1900900
NOTHING2SOMETHING,Chimezie,BETTER TOGETHER,Favorite Songs,Favorite,QZFZ62179370
Black and White,Lil B,The Silent President,Favorite Songs,Favorite,TCADP1824437
ooh la la (feat. Greg Nice & DJ Premier),Greg Nice,ooh la la (feat. Greg Nice & DJ Premier),Favorite Songs,Favorite,QMRSZ2000720
Thousand Pills (feat. Stove God Cooks),Boldy James,Thousand Pills (feat. Stove God Cooks),Favorite Songs,Favorite,QMBZ92096952
"Dragon Town,Preservation,""Eastern Medicine, Western Illness"",Favorite Songs,Favorite,USHKR0919501"
Chosen,Flowdan,Disaster Piece,Favorite Songs,Favorite,GBEUE1500285
Rules to Join,Lil B,Thugged out Pissed Off,Favorite Songs,Favorite,TCADP1841142
Down [dub],Kenny Segal,Kenstrumentals Vol. 4: a lot on my plate,Favorite Songs,Favorite,US25X2003533
Allstar,MIKE,Weight of the World,Favorite Songs,Favorite,QZHN82028057
Picture This,Little Brother,May the Lord Watch,Favorite Songs,Favorite,USUYG1267789
Effervescence,Ill Scholars,Ill Scholars,Favorite Songs,Favorite,US92U1903069
Less Unsettled,Hemlock Ernst,Back At The House,Favorite Songs,Favorite,US25X1902737
Grand Number TheoRAM (GNT 1:1),Cambatta,LSD: Lunar Solar Duality,Favorite Songs,Favorite,QM6N22011923
"The Message,Slauson Malone,""A Quiet Farwell, Twenty Sixteen to Twenty Eighteen"",Favorite Songs,Favorite,QZES51921973"
"Correspondence,Preservation,""Eastern Medicine, Western Illness"",Favorite Songs,Favorite,USHKR0919510"
Everything,Deniro Farrar,Sole Food,Favorite Songs,Favorite,GBWUL2025245
Mask Up,Lil B,Bitch Mob Respect da Bitch,Favorite Songs,Favorite,TCADP1822820
Get Together,Gang Starr,One Of The Best Yet,Favorite Songs,Favorite,USA2P1954010
1491,Navy Blue,Song of Sage: Post Panic!,Favorite Songs,Favorite,QZPLR2084053
Coveralls,Aesop Rock,Spirit World Field Guide,Favorite Songs,Favorite,USBWK2000057
In the Coupe (feat. Jim Jones),Curren$y,The OutRunners,Favorite Songs,Favorite,QM6P42088560
North To South [VIP dub],Kenny Segal,Kenstrumentals Vol. 4: a lot on my plate,Favorite Songs,Favorite,US25X2003523
Sticks & Stones,Felt,Felt 4 U,Favorite Songs,Favorite,USBWK2000158
Quincy's March,Avantdale Bowling Club,Avantdale Bowling Club,Favorite Songs,Favorite,NZYB01800014
Many Men,21 Savage,SAVAGE MODE II,Favorite Songs,Favorite,USSM12005340
Normiefest,Zugezogen Maskulin,10 Jahre Abfuck,Favorite Songs,Favorite,DEQ322000159
Au Revoir,Black Alien,Abaixo de Zero: Hello Hell,Favorite Songs,Favorite,BXXEK1900007
goonies vs. E.T.,Run The Jewels,RTJ4,Favorite Songs,Favorite,QMRSZ2001022
Rich Nigga Shit (feat. Young Thug),21 Savage,SAVAGE MODE II,Favorite Songs,Favorite,USSM12005348
Cuban Links,Deniro Farrar,Sole Food,Favorite Songs,Favorite,GBWUL2025246
Gold and Chrome,Curren$y,The OutRunners,Favorite Songs,Favorite,QM6P42088557
Stephen Hawking,Lil B,Thugged out Pissed Off,Favorite Songs,Favorite,TCADP1841089
Runthafade,Pink Siifu,FlySiifu's,Favorite Songs,Favorite,GBMYF2000078
Stay Indoors,beat-trip,Disagreement 3,Favorite Songs,Favorite,TCAFF2075197
holy calamafuck,Run The Jewels,RTJ4,Favorite Songs,Favorite,QMRSZ2001320
Rap.de,Zugezogen Maskulin,10 Jahre Abfuck,Favorite Songs,Favorite,DEQ322000157
Suitcase Special,Pink Siifu,FlySiifu's,Favorite Songs,Favorite,GBMYF2000077
Celadon,Rav,SKIN,Favorite Songs,Favorite,QZFZ32074179
The Official,Elaquent,Green Apples and Oranges,Favorite Songs,Favorite,CA6E81300102
Sins,Deniro Farrar,Sole Food,Favorite Songs,Favorite,GBWUL2025236
"A Scholar’s Rock,Preservation,""Eastern Medicine, Western Illness"",Favorite Songs,Favorite,USHKR0919502"
Pocket Lint,Avantdale Bowling Club,Avantdale Bowling Club,Favorite Songs,Favorite,NZYB01800009
First Class (feat. Kano & Lethal Bizzle),Wiley,The Ascent,Favorite Songs,Favorite,GBAHT1300062
Airplane Mode Intro.wav,Tall Black Guy,Airplane Mode,Favorite Songs,Favorite,USDHM2103980
Weed in LA,The Koreatown Oddity,Weed in LA,Favorite Songs,Favorite,US2S72034007
Numerology,Nicholas Craven,Tha Myth Who Never Quit,Favorite Songs,Favorite,QZFYY1917805
Kimchi,The Koreatown Oddity,Kimchi,Favorite Songs,Favorite,US2S72034012
Never’s Enough,Felt,Felt 4 U,Favorite Songs,Favorite,USBWK2000152
In the Park,Wiki,In the Park,Favorite Songs,Favorite,QMPKX1889596
Full Squid,Matt Evans,New Topographics,Favorite Songs,Favorite,QZFZ52023414
E.T. Diamond,Small Bills,E.T. Diamond,Favorite Songs,Favorite,QM7282089828
'94,Apollo Brown,'94,Favorite Songs,Favorite,QM6MZ2095142
Elaine [VIP dub],Kenny Segal,Kenstrumentals Vol. 4: a lot on my plate,Favorite Songs,Favorite,US25X2003516
The Feel,Little Brother,May the Lord Watch,Favorite Songs,Favorite,USUYG1267778
Lauf,Audio88,Lauf,Favorite Songs,Favorite,DEQ022008161
Hello From The Spirit World,Aesop Rock,Spirit World Field Guide,Favorite Songs,Favorite,USBWK2000049
Mural Jr.,Lupe Fiasco,DROGAS WAVE,Favorite Songs,Favorite,US5KD1800024
Addicted Youth [dub],Kenny Segal,Kenstrumentals Vol. 4: a lot on my plate,Favorite Songs,Favorite,US25X2003536
The End,Blu & Exile,Miles,Favorite Songs,Favorite,US6680916900
Swan Lake,Bladee,333,Favorite Songs,Favorite,SE5AJ2001079
Ten Boxes - Sin Eater,Mach-Hommy,Pray For Haiti,Favorite Songs,Favorite,USUYG1371042
Humble Pie,Wiley,The Ascent,Favorite Songs,Favorite,GBAHT1300070
African Dream,Blu & Exile,Miles,Favorite Songs,Favorite,US6680916894
Gnosis - Instrumental,Godfather Don,Osmosis (Deluxe Edition),Favorite Songs,Favorite,DEQ022001861
Phone Bill,Boldy James,The Price Of Tea In China,Favorite Songs,Favorite,USUYG1294348
The Fowler's Snare,DJ Muggs,Tuez-Les Tous,Favorite Songs,Favorite,USA2P1916975
GOLDEN SPIRIT,Chimezie,BETTER TOGETHER,Favorite Songs,Favorite,QZFZ62179379
Get Rich Quick Scheme,MIKE,Weight of the World,Favorite Songs,Favorite,QZHN82028052
Old Justice,Ka,Descendants of Cain,Favorite Songs,Favorite,TCAEU2095594
Antimidas,Prezident,Alles ist voll von Göttern,Favorite Songs,Favorite,DEQ022000011
Potential,Elzhi,Seven Times Down Eight Times Up,Favorite Songs,Favorite,US6680917444
Snitches & Rats (Interlude),21 Savage,SAVAGE MODE II,Favorite Songs,Favorite,USSM12005352
Underwater (feat. Blimes),Felt,Felt 4 U,Favorite Songs,Favorite,USBWK2000159
The Masters Clock is X,Small Bills,Don't Play It Straight,Favorite Songs,Favorite,QM7282089829
